iter	MultiClass
0	1.085383997
1	1.073070265
2	1.060559761
3	1.048416204
4	1.036242913
5	1.02569489
6	1.018182704
7	1.008039656
8	0.9978916497
9	0.9910590978
10	0.9827326228
11	0.9740303144
12	0.963916057
13	0.9559280626
14	0.9460709073
15	0.9396614118
16	0.9301597798
17	0.9206892313
18	0.9118716224
19	0.9024150415
20	0.8930610246
21	0.8844589627
22	0.8760081433
23	0.8696698001
24	0.861629489
25	0.8529277006
26	0.8445229972
27	0.8365442053
28	0.8287136502
29	0.8203735432
30	0.8126990193
31	0.805135935
32	0.7977081979
33	0.7903567476
34	0.7830341325
35	0.776547629
36	0.7688349493
37	0.7629468971
38	0.7562342841
39	0.7500140926
40	0.7434708848
41	0.7380885652
42	0.731306055
43	0.7258356091
44	0.7208694177
45	0.714434114
46	0.7090615709
47	0.7022189747
48	0.6974465174
49	0.6923903301
50	0.6864591584
51	0.6801244466
52	0.6755136998
53	0.6692956694
54	0.6636802243
55	0.6588749395
56	0.654353376
57	0.6486973217
58	0.6439201009
59	0.6381872582
60	0.6348272248
61	0.6299555982
62	0.624112317
63	0.620323286
64	0.6145847333
65	0.6097946428
66	0.6059479649
67	0.6013355246
68	0.5976517001
69	0.5948159349
70	0.5900171697
71	0.5852384294
72	0.5809767656
73	0.576777589
74	0.57233741
75	0.5683228043
76	0.5639439208
77	0.5592673526
78	0.5556480225
79	0.5517299071
80	0.5472094188
81	0.5433947352
82	0.5398646516
83	0.5358756246
84	0.5316455265
85	0.5288445423
86	0.5249717957
87	0.5215174702
88	0.5175556856
89	0.5144709493
90	0.510529958
91	0.5063439545
92	0.5030011749
93	0.4995604008
94	0.4960244721
95	0.4929528638
96	0.4900580217
97	0.486484065
98	0.4837612873
99	0.4804315717
