iter	Passed	Remaining
0	0	248
1	0	213
2	1	200
3	1	191
4	1	192
5	2	187
6	2	185
7	2	182
8	3	181
9	3	179
10	4	178
11	4	176
12	4	176
13	5	179
14	5	182
15	6	183
16	6	189
17	7	198
18	7	197
19	8	196
20	8	194
21	8	193
22	9	191
23	9	190
24	9	188
25	10	187
26	10	186
27	10	184
28	11	183
29	11	182
30	11	181
31	12	180
32	12	179
33	13	178
34	13	177
35	13	177
36	14	176
37	14	176
38	14	175
39	15	174
40	15	173
41	16	175
42	16	176
43	17	177
44	17	177
45	18	178
46	18	178
47	18	178
48	19	177
49	19	176
50	19	175
51	20	175
52	20	174
53	20	173
54	21	172
55	21	171
56	22	171
57	22	170
58	22	169
59	23	168
60	23	168
61	23	167
62	24	166
63	24	166
64	24	166
65	25	165
66	25	164
67	25	164
68	26	163
69	26	162
70	26	162
71	27	162
72	27	162
73	28	162
74	28	163
75	29	162
76	29	162
77	29	161
78	30	161
79	30	160
80	30	160
81	31	159
82	31	159
83	32	158
84	32	158
85	32	157
86	33	157
87	33	156
88	33	156
89	34	155
90	34	154
91	34	154
92	35	154
93	35	153
94	35	153
95	36	152
96	36	152
97	37	151
98	37	151
99	37	150
100	38	151
101	38	151
102	39	150
103	39	150
104	39	150
105	40	150
106	40	149
107	41	149
108	41	148
109	41	148
110	42	147
111	42	147
112	42	146
113	43	146
114	43	145
115	43	145
116	44	144
117	44	144
118	45	144
119	45	143
120	45	143
121	46	142
122	46	142
123	46	141
124	47	141
125	47	140
126	47	140
127	48	139
128	48	139
129	48	138
130	49	138
131	49	138
132	50	137
133	50	137
134	51	138
135	51	137
136	51	137
137	52	136
138	52	136
139	52	135
140	53	135
141	53	134
142	53	134
143	54	133
144	54	133
145	55	133
146	55	132
147	55	132
148	56	131
149	56	131
150	56	131
151	57	130
152	57	130
153	57	129
154	58	129
155	58	128
156	58	128
157	59	127
158	59	127
159	59	127
160	60	126
161	60	126
162	61	126
163	61	126
164	61	125
165	62	125
166	62	124
167	62	124
168	63	124
169	63	123
170	64	123
171	64	122
172	64	122
173	65	121
174	65	121
175	65	121
176	66	120
177	66	120
178	66	119
179	67	119
180	67	118
181	67	118
182	68	118
183	68	117
184	68	117
185	69	116
186	69	116
187	69	115
188	70	115
189	70	115
190	70	114
191	71	114
192	71	114
193	72	113
194	72	113
195	73	113
196	73	112
197	73	112
198	74	112
199	74	111
200	74	111
201	75	110
202	75	110
203	75	109
204	76	109
205	76	109
206	76	108
207	77	108
208	77	108
209	77	107
210	78	107
211	78	106
212	79	106
213	79	106
214	79	105
215	80	105
216	80	104
217	80	104
218	81	104
219	81	103
220	81	103
221	82	102
222	82	102
223	82	102
224	83	101
225	83	101
226	84	101
227	84	101
228	85	100
229	85	100
230	85	100
231	86	99
232	86	99
233	86	98
234	87	98
235	87	98
236	87	97
237	88	97
238	88	96
239	89	96
240	89	96
241	89	95
242	90	95
243	90	94
244	90	94
245	91	94
246	91	93
247	91	93
248	92	92
249	92	92
250	92	92
251	93	91
252	93	91
253	94	91
254	94	90
255	94	90
256	95	90
257	95	89
258	96	89
259	96	89
260	96	88
261	97	88
262	97	87
263	97	87
264	98	87
265	98	86
266	99	86
267	99	86
268	99	85
269	100	85
270	100	84
271	100	84
272	101	84
273	101	83
274	101	83
275	102	82
276	102	82
277	102	82
278	103	81
279	103	81
280	103	81
281	104	80
282	104	80
283	105	80
284	105	79
285	106	79
286	106	79
287	106	78
288	107	78
289	107	77
290	107	77
291	108	77
292	108	76
293	108	76
294	109	75
295	109	75
296	109	75
297	110	74
298	110	74
299	110	73
300	111	73
301	111	73
302	112	73
303	112	72
304	113	72
305	113	72
306	114	71
307	114	71
308	114	70
309	115	70
